Continente,Total,65 y más,Total,65 y más
Unión Europea,0.29188721781180066,0.38306495281781494,1617911,159170
Resto Europa,0.10609006208266672,0.32457877776360533,588050,134868
Sudamérica,0.08895382443804109,0.032289894276287132,1173900,58823
África,0.21178322230905955,0.1415658083784779,1217706,30983
Asia,0.067774960977331128,0.025060346508085109,493065,13417
Otros,0.013824452473889271,0.018875280674436907,375672,10413
Norteamérica,0.21968625990721155,0.074564939581292705,76628,7843
TOTAL,,,5542932,415517
